Num_Workers_On_Site	Avg_Experience_Years	Weather_Severity_Index	Equipment_Age_Years	Safety_Training_Hours_Year	Near_Miss_Reports_Last_Month	Overtime_Ratio	Compliance_Score	Risk_Level
# =================== 对未知样本进行预测（示例） ===================
# 假设我们有两个新样本
sample1 = [100, 5.0, 2.0, 10.0, 20.0, 2, 0.3, 7.0]
sample2 = [150, 8.0, 1.0, 5.0, 25.0, 1, 0.1, 8.5]
sample3 = [50, 3.0, 5.0, 15.0, 10.0, 5, 0.5, 5.0]

predictions = model.predict([sample1, sample2, sample3])

# 将预测的数字标签转回文本
predicted_labels = le.inverse_transform(predictions)
print("\n预测结果:")
for i, label in enumerate(predicted_labels):
    print(f"样本{i+1}: {label}")

# =================== 绘制决策树 ===================
# 创建特征名称的中文翻译（可选）
feature_names_cn = ['现场工人数', '平均经验年数', '天气严重指数', 
                   '设备年龄年数', '安全培训小时数', '上月未遂事故报告数', 
                   '加班比例', '合规分数']

# 使用英文特征名或中文特征名
fn = feature_names_cn  # 使用中文特征名，或改为 fn = feature_columns 使用英文
cn = list(le.classes_)  # 类别名称

plt.figure(figsize=(20, 12))
tree.plot_tree(dt_clf, 
               feature_names=fn, 
               class_names=cn, 
               filled=True, 
               rounded=True,
               fontsize=10,
               proportion=True)

plt.title("风险等级决策树 (Risk Level Decision Tree)", fontsize=16, pad=20)
plt.tight_layout()

# 显示图形
plt.show()

# =================== 可选：保存决策树图片 ===================
# 注意：保存图片时可能需要额外处理中文字体
try:
    plt.savefig('risk_decision_tree.png', dpi=300, bbox_inches='tight', facecolor='white')
    print("决策树已保存为 'risk_decision_tree.png'")
except:
    print("保存图片时出错，可能字体问题导致")

# =================== 额外：特征重要性分析 ===================
print("\n特征重要性分析:")
feature_importance = pd.DataFrame({
    '特征': feature_columns,
    '重要性': dt_clf.feature_importances_
}).sort_values('重要性', ascending=False)

print(feature_importance)
三．决策树

四．分析

可以把它想象成“判断风险等级的‘闯关游戏’”：每一层都有一个“关卡条件”，符合条件就走“True”分支，不符合就走“False”分支，闯到最后一层，就能知道对应的“风险等级”（或者分类结果）。

 每个方框（节点）里的内容，就像“关卡说明”：
 
- 第一行是关卡条件（比如“天气影响 ≥ 2.50”），用来决定走哪条分支；
-  gini ：可以理解成“这个关卡里的样本乱不乱”——数值越小，说明这里的样本越“整齐”（大部分是同一类，比如都是“低风险”）；
-  samples ：这一关里有多少个“待判断的样本”（比如 samples=5 就是有5个数据要在这里判断）；
-  value ：这一关里不同结果的样本数量（比如 value=[2,3] 就是“2个低风险、3个高风险”）；
- 颜色：不同颜色对应不同的“最终结果”（比如绿色是低风险，紫色是高风险）。
  
比如现在有一个“待判断的样本”，跟着树走一遍：
 
1. 先看最顶部的“根关卡”：如果满足“xx ≤ 4.50”，就走“True”分支；
2. 到下一个关卡“天气影响 ≥ 2.50”：如果满足，继续走对应的分支；
3. 一层一层闯，直到走到最底层的“终点关卡”（叶节点），这个节点的颜色和信息，就是这个样本的“风险等级”。
 
总结来说，这棵树就是“一步一步选条件，最终得到结果”的分类工具。
 
